iter	Passed	Remaining
309	11047	42406
310	11080	42362
311	11112	42312
312	11146	42272
313	11180	42227
314	11211	42174
315	11245	42134
316	11281	42100
317	11298	41995
318	11329	41944
319	11362	41898
320	11397	41861
321	11431	41821
322	11465	41781
323	11520	41816
324	11555	41777
325	11596	41762
326	11638	41748
327	11673	41709
328	11711	41684
329	11751	41663
330	11785	41623
331	11819	41582
332	11853	41540
333	11885	41493
334	11919	41451
335	11952	41407
336	11986	41364
337	12019	41322
338	12053	41278
339	12086	41236
340	12122	41202
341	12141	41109
342	12172	41060
343	12205	41015
344	12238	40972
345	12270	40925
346	12304	40884
347	12336	40839
348	12361	40767
349	12394	40723
350	12427	40681
351	12461	40640
352	12494	40596
353	12526	40552
354	12560	40512
355	12596	40478
356	12631	40442
357	12669	40416
358	12702	40373
359	12736	40332
360	12770	40292
361	12803	40249
362	12835	40204
363	12870	40166
364	12888	40078
365	12921	40034
366	12955	39996
367	12993	39968
368	13032	39944
369	13084	39960
370	13130	39958
371	13166	39924
372	13203	39893
373	13239	39859
374	13275	39825
375	13313	39798
376	13349	39764
377	13385	39730
378	13422	39700
379	13456	39662
380	13492	39628
381	13528	39594
382	13561	39552
383	13598	39519
384	13639	39500
385	13686	39500
386	13740	39516
387	13773	39473
388	13807	39435
389	13843	39402
390	13878	39364
391	13911	39319
392	13945	39281
393	13978	39239
394	14011	39196
395	14046	39159
396	14079	39117
397	14114	39081
398	14154	39059
399	14191	39025
400	14230	39001
401	14270	38976
